,Listing,Price,Address,Link,Floor_space_m²,Number_bedrooms,Area
132,Studio Apartment in Oranjezicht,1450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2864284,40,Studio, Oranjezicht
133,1 Bed Apartment in Oranjezicht,1850000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3336308,54,1, Oranjezicht
134,2 Bed Apartment in Oranjezicht,1950000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3135938,69,2, Oranjezicht
135,1 Bed Apartment in Oranjezicht,1995000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3264757,650,1, Oranjezicht
136,1 Bed Apartment in Oranjezicht,2450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3427606,66,1, Oranjezicht
137,2 Bed Apartment in Oranjezicht,2790000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3382787,93,2, Oranjezicht
138,2 Bed Apartment in Oranjezicht,3450000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3428668,125,2, Oranjezicht
139,2 Bed Apartment in Oranjezicht,5800000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3433433,172,2, Oranjezicht
140,4 Bed House in Oranjezicht,6250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3239696,2301,4, Oranjezicht
141,3 Bed House in Oranjezicht,7500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3382819,268,3, Oranjezicht
142,12 Bed House in Oranjezicht,10500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3451259,392,12, Oranjezicht
143,11 Bed House in Oranjezicht,10500000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3415570,5180,11, Oranjezicht
144,723 m² Land available in Oranjezicht,11995000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3293743,723,723, Oranjezicht
146,1 Bed Apartment in Oranjezicht,1945000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3146618,67,1, Oranjezicht
147,1 Bed Apartment in Oranjezicht,2250000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T2678871,64,1, Oranjezicht
148,3 Bed Apartment in Oranjezicht,5200000,,https://www.privateproperty.co.za/for-sale/western-cape/cape-town/cape-town-city-bowl/oranjezicht/T3236066,141,3, Oranjezicht
